Make,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Audi,A4 1.8T 4dr,Sedan,Europe,Front,1.8,4.0,170,22,31,3252,104,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,1.8,4.0,170,23,30,3638,105,180
Audi,A4 3.0 4dr,Sedan,Europe,Front,3.0,6.0,220,20,28,3462,104,179
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3.0,6.0,220,17,26,3583,104,179
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3.0,6.0,220,18,25,3627,104,179
Audi,A6 3.0 4dr,Sedan,Europe,Front,3.0,6.0,220,20,27,3561,109,192
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3.0,6.0,220,18,25,3880,109,192
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3.0,6.0,220,20,27,3814,105,180
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,3.0,6.0,220,18,25,4013,105,180
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,2.7,6.0,250,18,25,3836,109,192
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4.2,8.0,300,17,24,4024,109,193
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4.2,8.0,330,17,24,4399,121,204
Audi,S4 Quattro 4dr,Sedan,Europe,All,4.2,8.0,340,14,20,3825,104,179
Audi,RS 6 4dr,Sports,Europe,Front,4.2,8.0,450,15,22,4024,109,191
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,1.8,4.0,180,20,28,3131,95,159
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,1.8,4.0,225,20,28,2921,96,159
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3.2,6.0,250,21,29,3351,96,159
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,3.0,6.0,220,18,25,4035,109,192
Audi,S4 Avant Quattro,Wagon,Europe,All,4.2,8.0,340,15,21,3936,104,179
BMW,X3 3.0i,SUV,Europe,All,3.0,6.0,225,16,23,4023,110,180
BMW,X5 4.4i,SUV,Europe,All,4.4,8.0,325,16,22,4824,111,184
BMW,325i 4dr,Sedan,Europe,Rear,2.5,6.0,184,20,29,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,2.5,6.0,184,20,29,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,2.5,6.0,184,19,27,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,2.5,6.0,184,19,27,3461,107,176
BMW,330i 4dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3285,107,176
BMW,330Ci 2dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3285,107,176
BMW,330xi 4dr,Sedan,Europe,All,3.0,6.0,225,20,29,3483,107,176
BMW,525i 4dr,Sedan,Europe,Rear,2.5,6.0,184,19,28,3428,114,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3.0,6.0,225,19,28,3616,107,177
BMW,530i 4dr,Sedan,Europe,Rear,3.0,6.0,225,20,30,3472,114,191
BMW,545iA 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,3814,114,191
BMW,745i 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,4376,118,198
BMW,745Li 4dr,Sedan,Europe,Rear,4.4,8.0,325,18,26,4464,123,204
BMW,M3 coupe 2dr,Sports,Europe,Rear,3.2,6.0,333,16,24,3415,108,177
BMW,M3 convertible 2dr,Sports,Europe,Rear,3.2,6.0,333,16,23,3781,108,177
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2.5,6.0,184,20,28,2932,98,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,3.0,6.0,225,21,29,2998,98,161
BMW,325xi Sport,Wagon,Europe,All,2.5,6.0,184,19,26,3594,107,176
Buick,Rainier,SUV,USA,All,4.2,6.0,275,15,21,4600,113,193
Buick,Rendezvous CX,SUV,USA,Front,3.4,6.0,185,19,26,4024,112,187
Buick,Century Custom 4dr,Sedan,USA,Front,3.1,6.0,175,20,30,3353,109,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3567,112,200
Buick,Regal LS 4dr,Sedan,USA,Front,3.8,6.0,200,20,30,3461,109,196
Buick,Regal GS 4dr,Sedan,USA,Front,3.8,6.0,240,18,28,3536,109,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,3.8,6.0,205,20,29,3778,114,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3.8,6.0,240,18,28,3909,114,207
Cadillac,Escalade,SUV,USA,Front,5.3,8.0,295,14,18,5367,116,199
Cadillac,SRX V8,SUV,USA,Front,4.6,8.0,320,16,21,4302,116,195
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,3.6,6.0,255,18,25,3694,113,190
Cadillac,Deville 4dr,Sedan,USA,Front,4.6,8.0,275,18,26,3984,115,207
Cadillac,Deville DTS 4dr,Sedan,USA,Front,4.6,8.0,300,18,26,4044,115,207
Cadillac,Seville SLS 4dr,Sedan,USA,Front,4.6,8.0,275,18,26,3992,112,201
Cadillac,XLR convertible 2dr,Sports,USA,Rear,4.6,8.0,320,17,25,3647,106,178
Cadillac,Escalade EXT,Truck,USA,All,6.0,8.0,345,13,17,5879,130,221
Chevrolet,Suburban 1500 LT,SUV,USA,Front,5.3,8.0,295,14,18,4947,130,219
Chevrolet,Tahoe LT,SUV,USA,All,5.3,8.0,295,14,18,5050,116,197
Chevrolet,TrailBlazer LT,SUV,USA,Front,4.2,6.0,275,16,21,4425,113,192
Chevrolet,Tracker,SUV,USA,Front,2.5,6.0,165,19,22,2866,98,163
Chevrolet,Aveo 4dr,Sedan,USA,Front,1.6,4.0,103,28,34,2370,98,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,1.6,4.0,103,28,34,2348,98,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,2.2,4.0,140,26,37,2676,104,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Impala 4dr,Sedan,USA,Front,3.4,6.0,180,21,32,3465,111,200
Chevrolet,Malibu 4dr,Sedan,USA,Front,2.2,4.0,145,24,34,3174,106,188
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,3.5,6.0,200,22,30,3297,106,188
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,3.4,6.0,180,21,32,3340,111,198
Chevrolet,Impala LS 4dr,Sedan,USA,Front,3.8,6.0,200,20,30,3476,111,200
Chevrolet,Impala SS 4dr,Sedan,USA,Front,3.8,6.0,240,18,28,3606,111,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,3.5,6.0,200,23,32,3315,106,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,3.8,6.0,200,18,28,3434,111,198
Chevrolet,Astro,Sedan,USA,All,4.3,6.0,190,14,17,4605,111,190
Chevrolet,Venture LS,Sedan,USA,Front,3.4,6.0,185,19,26,3699,112,187
Chevrolet,Corvette 2dr,Sports,USA,Rear,5.7,8.0,350,18,25,3246,105,180
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,5.7,8.0,350,18,25,3248,105,180
Chevrolet,Avalanche 1500,Truck,USA,All,5.3,8.0,295,14,18,5678,130,222
Chevrolet,Colorado Z85,Truck,USA,All,2.8,4.0,175,18,23,3623,111,192
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,4.3,6.0,200,15,21,4142,119,206
Chevrolet,Silverado SS,Truck,USA,All,6.0,8.0,300,13,17,4804,144,238
Chevrolet,SSR,Truck,USA,Rear,5.3,8.0,300,16,19,4760,116,191
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,3.5,6.0,200,22,30,3458,112,188
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,2.4,4.0,150,22,29,3101,103,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,2.4,4.0,150,22,29,3105,103,169
Chrysler,Sebring 4dr,Sedan,USA,Front,2.4,4.0,150,22,30,3173,108,191
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,2.7,6.0,200,21,28,3222,108,191
Chrysler,300M 4dr,Sedan,USA,Front,3.5,6.0,250,18,27,3581,113,198
Chrysler,Concorde LX 4dr,Sedan,USA,Front,2.7,6.0,200,21,29,3479,113,208
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,3.5,6.0,232,19,27,3548,113,208
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,2.4,4.0,220,21,27,3217,103,169
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,2.4,4.0,150,22,30,3357,106,194
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,3.5,6.0,255,18,27,3650,113,198
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,2.7,6.0,200,21,28,3448,106,194
Chrysler,Town and Country LX,Sedan,USA,Front,3.3,6.0,180,19,26,4068,119,201
Chrysler,Town and Country Limited,Sedan,USA,Front,3.8,6.0,215,18,25,4331,119,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,3.2,6.0,215,17,25,3060,95,160
Chrysler,Pacifica,Wagon,USA,Rear,3.5,6.0,250,17,23,4675,116,199
Dodge,Durango SLT,SUV,USA,All,4.7,8.0,230,15,21,4987,119,201
Dodge,Neon SE 4dr,Sedan,USA,Front,2.0,4.0,132,29,36,2581,105,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,2.0,4.0,132,29,36,2626,105,174
Dodge,Intrepid SE 4dr,Sedan,USA,Front,2.7,6.0,200,21,29,3469,113,204
Dodge,Stratus SXT 4dr,Sedan,USA,Front,2.4,4.0,150,21,28,3182,108,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,2.4,4.0,150,21,28,3175,108,191
Dodge,Intrepid ES 4dr,Sedan,USA,Front,3.5,6.0,232,18,27,3487,113,204
Dodge,Caravan SE,Sedan,USA,Front,2.4,4.0,150,20,26,3862,113,189
Dodge,Grand Caravan SXT,Sedan,USA,All,3.8,6.0,215,18,25,4440,119,201
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,8.3,10.0,500,12,20,3410,99,176
Dodge,Dakota Regular Cab,Truck,USA,Rear,3.7,6.0,210,16,22,3714,112,193
Dodge,Dakota Club Cab,Truck,USA,Rear,3.7,6.0,210,16,22,3829,131,219
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,3.7,6.0,215,16,21,4542,121,208
Ford,Excursion 6.8 XLT,SUV,USA,All,6.8,10.0,310,10,13,7190,137,227
Ford,Expedition 4.6 XLT,SUV,USA,Front,4.6,8.0,232,15,19,5000,119,206
Ford,Explorer XLT V6,SUV,USA,All,4.0,6.0,210,15,20,4463,114,190
Ford,Escape XLS,SUV,USA,All,3.0,6.0,201,18,23,3346,103,173
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,2.0,4.0,130,26,33,2612,103,168
Ford,Focus LX 4dr,Sedan,USA,Front,2.0,4.0,110,27,36,2606,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,2.0,4.0,130,26,33,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,2.0,4.0,130,26,33,2691,103,168
Ford,Focus SVT 2dr,Sedan,USA,Front,2.0,4.0,170,21,28,2750,103,168
Ford,Taurus LX 4dr,Sedan,USA,Front,3.0,6.0,155,20,27,3306,109,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,3.0,6.0,201,19,26,3313,109,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,4.6,8.0,224,17,25,4057,115,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,4.6,8.0,224,17,25,4057,115,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,4.6,8.0,239,17,25,4057,115,212
Ford,Freestar SE,Sedan,USA,Front,3.9,6.0,193,17,23,4275,121,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,3.8,6.0,193,20,29,3290,101,183
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,4.6,8.0,260,17,25,3347,101,183
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,3.9,8.0,280,17,24,3780,107,186
Ford,F-150 Regular Cab XL,Truck,USA,Rear,4.6,8.0,231,15,19,4788,126,211
Ford,F-150 Supercab Lariat,Truck,USA,All,5.4,8.0,300,14,18,5464,133,218
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,2.3,4.0,143,24,29,3028,111,188
Ford,Focus ZTW,Wagon,USA,Front,2.0,4.0,130,26,33,2702,103,178
Ford,Taurus SE,Wagon,USA,Front,3.0,6.0,155,19,26,3497,109,198
GMC,Envoy XUV SLE,SUV,USA,Front,4.2,6.0,275,15,19,4945,129,208
GMC,Yukon 1500 SLE,SUV,USA,Front,4.8,8.0,285,16,19,5042,116,199
GMC,Yukon XL 2500 SLT,SUV,USA,All,6.0,8.0,325,13,17,6133,130,219
GMC,Safari SLE,Sedan,USA,Rear,4.3,6.0,190,16,20,4309,111,190
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,2.8,4.0,175,18,25,3351,111,192
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,4.8,8.0,285,17,20,4548,144,230
GMC,Sierra HD 2500,Truck,USA,All,6.0,8.0,300,13,18,5440,133,222
GMC,Sonoma Crew Cab,Truck,USA,All,4.3,6.0,190,15,19,4083,123,208
Hummer,H2,SUV,USA,All,6.0,8.0,316,10,12,6400,123,190
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,2.5,6.0,192,18,26,3428,107,184
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,3.0,6.0,227,18,25,3516,107,184
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,3.0,6.0,235,18,26,3777,115,192
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,4.2,8.0,294,18,28,3874,115,192
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,4.2,8.0,390,17,24,4046,115,192
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,4.2,8.0,294,18,28,3803,119,200
Jaguar,XJ8 4dr,Sedan,Europe,Rear,4.2,8.0,294,18,28,3803,119,200
Jaguar,XJR 4dr,Sedan,Europe,Rear,4.2,8.0,390,17,24,3948,119,200
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,4.2,8.0,294,18,26,3779,102,187
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,4.2,8.0,294,18,26,3980,102,187
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,4.2,8.0,390,16,23,3865,102,187
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,4.2,8.0,390,16,23,4042,102,187
Jeep,Grand Cherokee Laredo,SUV,USA,Front,4.0,6.0,195,16,21,3790,106,181
Jeep,Liberty Sport,SUV,USA,All,2.4,4.0,150,20,24,3826,104,174
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,4.0,6.0,190,16,19,3575,93,150
Land Rover,Range Rover HSE,SUV,Europe,All,4.4,8.0,282,12,16,5379,113,195
Land Rover,Discovery SE,SUV,Europe,All,4.6,8.0,217,12,16,4576,100,185
Land Rover,Freelander SE,SUV,Europe,All,2.5,6.0,174,18,21,3577,101,175
Lincoln,Navigator Luxury,SUV,USA,All,5.4,8.0,300,13,18,5969,119,206
Lincoln,Aviator Ultimate,SUV,USA,Front,4.6,8.0,302,13,18,4834,114,193
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,3.0,6.0,232,20,26,3681,115,194
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,3.0,6.0,232,20,26,3681,115,194
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,3.9,8.0,280,17,24,3768,115,194
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,3.9,8.0,280,17,24,3768,115,194
Lincoln,Town Car Signature 4dr,Sedan,USA,Rear,4.6,8.0,239,17,25,4369,118,215
Lincoln,Town Car Ultimate 4dr,Sedan,USA,Rear,4.6,8.0,239,17,25,4369,118,215
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,Rear,4.6,8.0,239,17,25,4474,124,221
MINI,Cooper,Sedan,Europe,Front,1.6,4.0,115,28,37,2524,97,143
MINI,Cooper S,Sedan,Europe,Front,1.6,4.0,163,25,34,2678,97,144
Mercedes-Benz,G500,SUV,Europe,All,5.0,8.0,292,13,14,5423,112,186
Mercedes-Benz,ML500,SUV,Europe,All,5.0,8.0,288,14,17,4874,111,183
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,1.8,4.0,189,22,30,3250,107,178
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,3.2,6.0,215,19,26,3430,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,2.6,6.0,168,20,25,3360,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,All,2.6,6.0,168,19,25,3360,107,178
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,3.2,6.0,215,19,26,3430,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,3.2,6.0,215,20,26,3450,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,All,3.2,6.0,215,19,27,3450,107,178
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,3.2,6.0,349,16,21,3540,107,178
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,5.0,8.0,302,16,24,4085,114,196
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,5.5,12.0,493,13,19,4473,114,196
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,3.2,6.0,215,20,26,3770,107,183
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,5.0,8.0,302,17,22,3585,107,183
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,3.2,6.0,221,19,27,3635,112,190
Mercedes-Benz,E500 4dr,Sedan,Europe,Rear,5.0,8.0,302,16,20,3815,112,190
Mercedes-Benz,S430 4dr,Sedan,Europe,Rear,4.3,8.0,275,18,26,4160,122,203
Mercedes-Benz,S500 4dr,Sedan,Europe,All,5.0,8.0,302,16,24,4390,122,203
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,Rear,5.0,8.0,302,16,23,4065,101,179
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,Rear,5.5,8.0,493,14,21,4235,101,179
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,Rear,5.5,12.0,493,13,19,4429,101,179
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,2.3,4.0,192,21,29,3055,95,158
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,Rear,3.2,6.0,349,17,22,3220,95,158
Mercedes-Benz,C240,Wagon,Europe,Rear,2.6,6.0,168,19,25,3470,107,179
Mercedes-Benz,E320,Wagon,Europe,Rear,3.2,6.0,221,19,27,3966,112,190
Mercedes-Benz,E500,Wagon,Europe,All,5.0,8.0,302,16,24,4230,112,190
Mercury,Mountaineer,SUV,USA,Front,4.0,6.0,210,16,21,4374,114,190
Mercury,Sable GS 4dr,Sedan,USA,Front,3.0,6.0,155,20,27,3308,109,200
Mercury,Grand Marquis GS 4dr,Sedan,USA,Rear,4.6,8.0,224,17,25,4052,115,212
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,Rear,4.6,8.0,224,17,25,4052,115,212
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,3.0,6.0,201,19,26,3315,109,200
Mercury,Grand Marquis LS Ultimate 4dr,Sedan,USA,Rear,4.6,8.0,224,17,25,4052,115,212
Mercury,Marauder 4dr,Sedan,USA,Rear,4.6,8.0,302,17,23,4195,115,212
Mercury,Monterey Luxury,Sedan,USA,Front,4.2,6.0,201,16,23,4340,121,202
Mercury,Sable GS,Wagon,USA,Front,3.0,6.0,155,19,26,3488,109,198
Oldsmobile,Alero GX 2dr,Sedan,USA,Front,2.2,4.0,140,24,32,2946,107,187
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front,3.4,6.0,170,20,29,3085,107,187
Oldsmobile,Silhouette GL,Sedan,USA,Front,3.4,6.0,185,19,26,3948,120,201
Pontiac,Aztekt,SUV,USA,Front,3.4,6.0,185,19,26,3779,108,182
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front,2.2,4.0,140,24,33,2771,104,182
Pontiac,Grand Am GT 2dr,Sedan,USA,Front,3.4,6.0,175,20,29,3118,107,186
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front,3.8,6.0,200,20,30,3477,111,198
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front,2.2,4.0,140,24,33,2771,104,182
Pontiac,Grand Prix GT2 4dr,Sedan,USA,Front,3.8,6.0,200,20,30,3484,111,198
Pontiac,Bonneville GXP 4dr,Sedan,USA,Front,4.6,8.0,275,17,20,3790,112,203
Pontiac,Montana,Sedan,USA,Front,3.4,6.0,185,19,26,3803,112,187
Pontiac,Montana EWB,Sedan,USA,All,3.4,6.0,185,18,24,4431,121,201
Pontiac,GTO 2dr,Sports,USA,Rear,5.7,8.0,340,16,20,3725,110,190
Pontiac,Vibe,Wagon,USA,Rear,1.8,4.0,130,29,36,2701,102,172
Porsche,Cayenne S,SUV,Europe,All,4.5,8.0,340,14,18,4950,112,188
Porsche,911 Carrera convertible 2dr (coupe),Sports,Europe,Rear,3.6,6.0,315,18,26,3135,93,175
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,Europe,All,3.6,6.0,315,17,24,3240,93,175
Porsche,911 Targa coupe 2dr,Sports,Europe,Rear,3.6,6.0,315,18,26,3119,93,175
Porsche,911 GT2 2dr,Sports,Europe,Rear,3.6,6.0,477,17,24,3131,93,175
Porsche,Boxster convertible 2dr,Sports,Europe,Rear,2.7,6.0,228,20,29,2811,95,170
Porsche,Boxster S convertible 2dr,Sports,Europe,Rear,3.2,6.0,258,18,26,2911,95,170
Saab,9-3 Arc Sport 4dr,Sedan,Europe,Front,2.0,4.0,210,20,28,3175,105,183
Saab,9-3 Aero 4dr,Sedan,Europe,Front,2.0,4.0,210,20,28,3175,105,183
Saab,9-5 Arc 4dr,Sedan,Europe,Front,2.3,4.0,220,21,29,3470,106,190
Saab,9-5 Aero 4dr,Sedan,Europe,Front,2.3,4.0,250,21,29,3470,106,190
Saab,9-3 Arc convertible 2dr,Sedan,Europe,Front,2.0,4.0,210,21,29,3480,105,182
Saab,9-3 Aero convertible 2dr,Sedan,Europe,Front,2.0,4.0,210,21,30,3700,105,182
Saab,9-5 Aero,Wagon,Europe,Front,2.3,4.0,250,19,29,3620,106,190
Saturn,VUE,SUV,USA,All,2.2,4.0,143,21,26,3381,107,181
Saturn,Ion1 4dr,Sedan,USA,Front,2.2,4.0,140,26,35,2692,103,185
Saturn,lon2 4dr,Sedan,USA,Front,2.2,4.0,140,26,35,2692,103,185
Saturn,lon3 4dr,Sedan,USA,Front,2.2,4.0,140,26,35,2692,103,185
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front,2.2,4.0,140,26,35,2751,103,185
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front,2.2,4.0,140,26,35,2751,103,185
Saturn,L300-2 4dr,Sedan,USA,Front,3.0,6.0,182,20,28,3197,107,190
Saturn,L300 2,Wagon,USA,Front,2.2,4.0,140,24,34,3109,107,190
Volkswagen,Touareg V6,SUV,Europe,All,3.2,6.0,220,15,20,5086,112,187
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front,2.0,4.0,115,24,31,2897,99,165
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front,1.8,4.0,180,24,31,2934,99,168
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front,1.9,4.0,100,38,46,3003,99,172
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,1.8,4.0,150,24,31,2820,99,161
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front,2.8,6.0,200,21,30,3179,99,172
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front,2.0,4.0,115,24,30,3082,99,161
Volkswagen,Passat GLS 4dr,Sedan,Europe,Front,1.8,4.0,170,22,31,3241,106,185
Volkswagen,Passat GLX V6 4MOTION 4dr,Sedan,Europe,Front,2.8,6.0,190,19,26,3721,106,185
Volkswagen,Passat W8 4MOTION 4dr,Sedan,Europe,Front,4.0,8.0,270,18,25,3953,106,185
Volkswagen,Phaeton 4dr,Sedan,Europe,Front,4.2,8.0,335,16,22,5194,118,204
Volkswagen,Phaeton W12 4dr,Sedan,Europe,Front,6.0,12.0,420,12,19,5399,118,204
Volkswagen,Jetta GL,Wagon,Europe,Front,2.0,4.0,115,24,30,3034,99,174
Volkswagen,Passat GLS 1.8T,Wagon,Europe,Front,1.8,4.0,170,22,31,3338,106,184
Volkswagen,Passat W8,Wagon,Europe,Front,4.0,8.0,270,18,25,4067,106,184
Volvo,XC90 T6,SUV,Europe,All,2.9,6.0,268,15,20,4638,113,189
Volvo,S40 4dr,Sedan,Europe,Front,1.9,4.0,170,22,29,2767,101,178
Volvo,S60 2.5 4dr,Sedan,Europe,All,2.5,5.0,208,20,27,3903,107,180
Volvo,S60 T5 4dr,Sedan,Europe,Front,2.3,5.0,247,20,28,3766,107,180
Volvo,S60 R 4dr,Sedan,Europe,All,2.5,5.0,300,18,25,3571,107,181
Volvo,S80 2.9 4dr,Sedan,Europe,Front,2.9,6.0,208,20,28,3576,110,190
Volvo,S80 2.5T 4dr,Sedan,Europe,All,2.5,5.0,194,20,27,3691,110,190
Volvo,C70 LPT convertible 2dr,Sedan,Europe,Front,2.4,5.0,197,21,28,3450,105,186
Volvo,C70 HPT convertible 2dr,Sedan,Europe,Front,2.3,5.0,242,20,26,3450,105,186
Volvo,S80 T6 4dr,Sedan,Europe,Front,2.9,6.0,268,19,26,3653,110,190
Volvo,V40,Wagon,Europe,Front,1.9,4.0,170,22,29,2822,101,180
Volvo,XC70,Wagon,Europe,All,2.5,5.0,208,20,27,3823,109,186
